Timestamp,ctrltarget.ax,ctrltarget.ay,ctrltarget.az,ctrltarget.pitch,ctrltarget.roll,ctrltarget.yaw
128837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
128937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
129037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
129137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
129237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
129337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
129437,0.0,0.0,0.0,-0.04201788827776909,0.46990644931793213,-0.0
129537,0.0,0.0,0.0,-11.582481384277344,13.240067481994629,-0.0
129637,0.0,0.0,0.0,-13.5706205368042,14.261603355407715,-0.0
129737,0.0,0.0,0.0,-11.914961814880371,14.469764709472656,-0.0
129837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
129937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
130037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
130137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
130237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
130337,0.0,0.0,0.0,-0.3359503448009491,0.9748920798301697,-0.0
130437,0.0,0.0,0.0,-1.7844109535217285,2.9090640544891357,-0.0
130537,0.0,0.0,0.0,-1.9125847816467285,3.2029964923858643,-0.0
130637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
130737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
130837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
130937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
131037,0.0,0.0,0.0,-1.4818050861358643,9.834305763244629,-0.0
131137,0.0,0.0,0.0,-0.0,2.111109733581543,-0.0
131237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
131337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
131437,0.0,0.0,0.0,-0.0,10.106072425842285,-0.0
131537,0.0,0.0,0.0,-8.342477798461914,11.488037109375,-0.0
131637,0.0,0.0,0.0,-5.833932876586914,15.176166534423828,-0.0
131737,0.0,0.0,0.0,-0.0,18.707210540771484,-0.0
131837,0.0,0.0,0.0,-3.8920512199401855,4.086721420288086,-0.0
131937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
132037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
132137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
132237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
132337,0.0,0.0,0.0,-2.29036021232605,-5.551115123125783e-17,-0.0
132437,0.0,0.0,0.0,-15.276392936706543,-5.551115123125783e-17,-0.0
132537,0.0,0.0,0.0,-17.295372009277344,-5.551115123125783e-17,-0.0
132637,0.0,0.0,0.0,-18.472064971923828,-5.551115123125783e-17,-0.0
132737,0.0,0.0,0.0,-8.6181001663208,-5.551115123125783e-17,-0.0
132837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
132937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
133037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
133137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
133237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
133337,0.0,0.0,0.0,3.885305404663086,0.9951300621032715,-0.0
